c,x,y,z,c2,x2,y2,z2
#08552c,0.16,-0.256,0.333,,,,
#021735,-0.116,-0.163,0.208,,,,
#014ba4,-0.346,-0.538,0.643,,,,
#cdad0c,0.58,0.486,0.804,,,,
#cb980c,0.52,0.539,0.796,,,,
#ddab08,0.6,0.581,0.867,,,,
#cc9800,0.563,0.569,0.8,,,,
#dcab04,0.613,0.584,0.863,,,,
#003289,-0.332,-0.423,0.537,,,,
#003991,-0.338,-0.458,0.569,,,,
#1c75c5,-0.315,-0.583,0.773,,,,
#1a75c6,-0.319,-0.594,0.776,,,,
#1575c9,-0.331,-0.623,0.788,,,,
#1375cc,-0.343,-0.639,0.8,,,,
#0d75cb,-0.34,-0.663,0.796,,,,
#0a7533,0.253,-0.335,0.459,,,,
#0975cd,-0.348,-0.685,0.804,,,,
#047538,0.237,-0.374,0.459,,,,
#027537,0.241,-0.381,0.459,,,,
#0175d9,-0.395,-0.749,0.851,,,,
#0075d9,-0.395,-0.754,0.851,,,,
#edb701,0.669,0.64,0.929,,,,
#002871,-0.277,-0.346,0.443,,,,
#00286e,-0.267,-0.339,0.431,,,,
#001f5d,-0.234,-0.279,0.365,,,,
#004715,0.187,-0.206,0.278,,,,
#0263c1,-0.369,-0.652,0.757,,,,
#dca608,0.585,0.591,0.863,,,,
#007736,0.253,-0.392,0.467,,,,
#cb2201,0.135,0.781,0.796,,,,
#d2a608,0.579,0.541,0.824,,,,
#d5a600,0.609,0.572,0.835,,,,
#38320d,0.132,0.105,0.22,,,,
#dea700,0.617,0.614,0.871,,,,
#1063bd,-0.352,-0.58,0.741,,,,
#dca700,0.616,0.604,0.863,,,,
#b3740e,0.39,0.516,0.702,,,,
#00469e,-0.341,-0.517,0.62,,,,
#d7a704,0.599,0.571,0.843,,,,
#d5a714,0.542,0.529,0.835,,,,
#001746,-0.177,-0.209,0.275,,,,
#cfa704,0.593,0.531,0.812,,,,
#006526,0.241,-0.315,0.396,,,,
#003598,-0.376,-0.463,0.596,,,,
#d6a404,0.59,0.575,0.839,,,,
#d0a404,0.586,0.545,0.816,,,,
#008438,0.294,-0.426,0.518,,,,
#00285f,-0.212,-0.306,0.373,,,,
#dba508,0.581,0.589,0.859,,,,
#d9a508,0.58,0.579,0.851,,,,
#dca500,0.61,0.61,0.863,,,,
#d6a500,0.606,0.58,0.839,,,,
#d4a500,0.605,0.57,0.831,,,,
#003f9d,-0.361,-0.499,0.616,,,,
#002357,-0.2,-0.276,0.341,,,,
#006a2a,0.246,-0.335,0.416,,,,
#016a2a,0.245,-0.331,0.416,,,,
#1d74c4,-0.315,-0.574,0.769,,,,
#1c74c9,-0.334,-0.591,0.788,,,,
#002158,-0.21,-0.274,0.345,,,,
#1774cc,-0.346,-0.62,0.8,,,,
#1374c8,-0.332,-0.628,0.784,,,,
#0d74ca,-0.34,-0.659,0.792,,,,
#dda401,0.604,0.616,0.867,,,,
#0874cd,-0.352,-0.688,0.804,,,,
#077433,0.25,-0.347,0.455,,,,
#057437,0.237,-0.365,0.455,,,,
#047437,0.237,-0.37,0.455,,,,
#037437,0.237,-0.374,0.455,,,,
#027431,0.258,-0.365,0.455,,,,
#017433,0.252,-0.374,0.455,,,,
#0074d5,-0.383,-0.742,0.835,,,,
#002062,-0.249,-0.293,0.384,,,,
#d2a401,0.597,0.561,0.824,,,,
#d0a401,0.596,0.551,0.816,,,,
#d7a409,0.573,0.57,0.843,,,,
#d4a411,0.543,0.539,0.831,,,,
#0061cc,-0.418,-0.682,0.8,,,,
#0c6130,0.189,-0.274,0.38,,,,
#016730,0.214,-0.338,0.404,,,,
#dbae00,0.635,0.578,0.859,,,,
#004f15,0.215,-0.223,0.31,,,,
#deae08,0.609,0.577,0.871,,,,
#00672c,0.228,-0.333,0.404,,,,
#ddae04,0.622,0.58,0.867,,,,
#dcae04,0.622,0.575,0.863,,,,
#006224,0.236,-0.303,0.384,,,,
#006e26,0.273,-0.334,0.431,,,,
#cfae08,0.598,0.501,0.812,,,,
#016e3a,0.205,-0.375,0.431,,,,
#b3730a,0.401,0.527,0.702,,,,
#e4ae00,0.641,0.623,0.894,,,,
#d69f01,0.586,0.596,0.839,,,,
#d09f09,0.554,0.55,0.816,,,,
#e3ae00,0.64,0.618,0.89,,,,
#006324,0.24,-0.305,0.388,,,,
#017130,0.251,-0.361,0.443,,,,
#017531,0.262,-0.372,0.459,,,,
#0071d4,-0.391,-0.734,0.831,,,,
#dbac14,0.56,0.544,0.859,,,,
#cd9f01,0.58,0.551,0.804,,,,
#007529,0.289,-0.357,0.459,,,,
#ce9f01,0.581,0.556,0.808,,,,
#d8ac00,0.627,0.569,0.847,,,,
#e4bd27,0.547,0.5,0.894,,,,
#d6ac04,0.612,0.551,0.839,,,,
#00a454,0.314,-0.561,0.643,,,,
#018c3a,0.316,-0.444,0.549,,,,
#008c3e,0.302,-0.458,0.549,,,,
#cdac0c,0.578,0.489,0.804,,,,
#ccac0c,0.577,0.484,0.8,,,,
#e0ac00,0.633,0.609,0.878,,,,
#0043ae,-0.41,-0.546,0.682,,,,
#001d4f,-0.191,-0.244,0.31,,,,
#0143aa,-0.395,-0.532,0.667,,,,
#002b80,-0.322,-0.385,0.502,,,,
#014ab4,-0.408,-0.571,0.706,,,,
#005c22,0.221,-0.285,0.361,,,,
#005e1a,0.253,-0.268,0.369,,,,
#dba900,0.621,0.593,0.859,,,,
#004aac,-0.379,-0.558,0.675,,,,
#d9a904,0.606,0.575,0.851,,,,
#024ab0,-0.393,-0.558,0.69,,,,
#2a73c7,-0.327,-0.522,0.78,,,,
#3a330d,0.136,0.112,0.227,,,,
#002979,-0.303,-0.365,0.475,,,,
#0151bd,-0.417,-0.608,0.741,,,,
#002d7e,-0.308,-0.386,0.494,,,,
#1c73c2,-0.311,-0.572,0.761,,,,
#1a73c5,-0.323,-0.588,0.773,,,,
#1973c6,-0.327,-0.595,0.776,,,,
#0051bd,-0.418,-0.612,0.741,,,,
#1473c8,-0.335,-0.621,0.784,,,,
#d6a914,0.548,0.528,0.839,,,,
#1173cd,-0.354,-0.647,0.804,,,,
#d7a90c,0.577,0.549,0.843,,,,
#0f73ca,-0.343,-0.648,0.792,,,,
#0d73c9,-0.34,-0.654,0.788,,,,
#0b73cc,-0.351,-0.67,0.8,,,,
#d5a904,0.603,0.555,0.835,,,,
#04732f,0.26,-0.349,0.451,,,,
#037336,0.237,-0.37,0.451,,,,
#0273d4,-0.383,-0.729,0.831,,,,
#017331,0.255,-0.367,0.451,,,,
#0073d4,-0.383,-0.738,0.831,,,,
#017831,0.273,-0.379,0.471,,,,
#003992,-0.341,-0.46,0.573,,,,
#0058c7,-0.43,-0.651,0.78,,,,
#005c1a,0.246,-0.264,0.361,,,,
#01581f,0.216,-0.264,0.345,,,,
#9d200a,0.09,0.569,0.616,,,,
#001848,-0.181,-0.216,0.282,,,,
#003389,-0.328,-0.425,0.537,,,,
#007733,0.263,-0.386,0.467,,,,
#d1a403,0.59,0.552,0.82,,,,
#ddad12,0.571,0.555,0.867,,,,
#005e1e,0.241,-0.279,0.369,,,,
#cb9601,0.553,0.567,0.796,,,,
#00266a,-0.259,-0.325,0.416,,,,
#ca960d,0.51,0.538,0.792,,,,
#b47204,0.42,0.548,0.706,,,,
#b2720c,0.391,0.521,0.698,,,,
#b07203,0.422,0.531,0.69,,,,
#d4a40b,0.564,0.551,0.831,,,,
#400600,0.025,0.25,0.251,,,,
#410600,0.025,0.254,0.255,,,,
#420600,0.025,0.258,0.259,,,,
#002575,-0.301,-0.346,0.459,,,,
#00163f,-0.156,-0.192,0.247,,,,
#deb407,0.629,0.561,0.871,,,,
#d39d00,0.581,0.589,0.827,,,,
#c89709,0.526,0.533,0.784,,,,
#a4200a,0.09,0.597,0.643,,,,
#d82002,0.123,0.83,0.847,,,,
#e2b51f,0.552,0.53,0.886,,,,
#9b1401,0.078,0.599,0.608,,,,
#ad2006,0.106,0.646,0.678,,,,
#a0200a,0.09,0.581,0.627,,,,
#a32006,0.106,0.606,0.639,,,,
#00184a,-0.189,-0.221,0.29,,,,
#005c2a,0.194,-0.304,0.361,,,,
#00348f,-0.347,-0.441,0.561,,,,
#a82006,0.106,0.626,0.659,,,,
#aa2006,0.106,0.634,0.667,,,,
#e7b407,0.635,0.606,0.906,,,,
#b12205,0.118,0.664,0.694,,,,
#00541b,0.215,-0.25,0.329,,,,
#003379,-0.27,-0.39,0.475,,,,
#00923c,0.331,-0.467,0.573,,,,
#ba2205,0.119,0.7,0.729,,,,
#005625,0.189,-0.279,0.337,,,,
#b92209,0.102,0.683,0.725,,,,
#c02002,0.123,0.735,0.753,,,,
#c22006,0.106,0.73,0.761,,,,
#b82205,0.119,0.692,0.722,,,,
#c42006,0.106,0.737,0.769,,,,
#c72002,0.123,0.763,0.78,,,,
#b17110,0.372,0.51,0.694,,,,
#c79209,0.511,0.543,0.78,,,,
#1e72cc,-0.352,-0.585,0.8,,,,
#00111c,-0.044,-0.101,0.11,,,,
#1a72c8,-0.338,-0.593,0.784,,,,
#1972c7,-0.334,-0.595,0.78,,,,
#daac0f,0.577,0.549,0.855,,,,
#af710c,0.386,0.509,0.686,,,,
#1372c9,-0.343,-0.626,0.788,,,,
#1272c6,-0.331,-0.623,0.776,,,,
#1172c8,-0.339,-0.632,0.784,,,,
#1072cb,-0.351,-0.644,0.796,,,,
#b0700c,0.383,0.516,0.69,,,,
#a01401,0.078,0.619,0.627,,,,
#037232,0.247,-0.358,0.447,,,,
#027230,0.254,-0.358,0.447,,,,
#017230,0.254,-0.363,0.447,,,,
#0072d7,-0.398,-0.743,0.843,,,,
#00100b,0.02,-0.059,0.063,,,,
#ea7166,0.045,0.516,0.918,,,,
#001b61,-0.261,-0.277,0.38,,,,
#af2209,0.102,0.643,0.686,,,,
#041b31,-0.086,-0.154,0.192,,,,
#ae220d,0.086,0.625,0.682,,,,
#d79e01,0.583,0.603,0.843,,,,
#d09e09,0.551,0.553,0.816,,,,
#dfae09,0.606,0.58,0.875,,,,
#169255,0.24,-0.423,0.573,,,,
#006f33,0.233,-0.367,0.435,,,,
#b67102,0.425,0.564,0.714,,,,
#b2710a,0.395,0.528,0.698,,,,
#b1710d,0.383,0.516,0.694,,,,
#af7105,0.412,0.524,0.686,,,,
#006e3b,0.201,-0.382,0.431,,,,
#00215e,-0.232,-0.287,0.369,,,,
#004514,0.183,-0.199,0.271,,,,
#001d5d,-0.241,-0.274,0.365,,,,
#c11b01,0.106,0.745,0.757,,,,
#c21b01,0.106,0.749,0.761,,,,
#c31b01,0.106,0.753,0.765,,,,
#c41b01,0.106,0.757,0.769,,,,
#c51b01,0.106,0.761,0.773,,,,
#c71b01,0.106,0.769,0.78,,,,
#c08f00,0.529,0.535,0.753,,,,
#004c1e,0.177,-0.24,0.298,,,,
#d4aa00,0.619,0.555,0.831,,,,
#006f27,0.273,-0.339,0.435,,,,
#f4c306,0.69,0.629,0.957,,,,
#003b8e,-0.32,-0.456,0.557,,,,
#029645,0.315,-0.488,0.588,,,,
#006e38,0.212,-0.376,0.431,,,,
#cc9a09,0.537,0.544,0.8,,,,
#40390d,0.157,0.124,0.251,,,,
#be2106,0.11,0.713,0.745,,,,
#009d50,0.302,-0.536,0.616,,,,
#b1210a,0.094,0.648,0.694,,,,
#bd2102,0.127,0.722,0.741,,,,
#b02106,0.11,0.657,0.69,,,,
#00194b,-0.189,-0.225,0.294,,,,
#0e71c6,-0.336,-0.639,0.776,,,,
#0b71ca,-0.351,-0.662,0.792,,,,
#097136,0.228,-0.338,0.443,,,,
#c08b00,0.518,0.547,0.753,,,,
#0371cd,-0.364,-0.704,0.804,,,,
#02712d,0.26,-0.349,0.443,,,,
#01712d,0.261,-0.353,0.443,,,,
#0071d7,-0.402,-0.741,0.843,,,,
#00296f,-0.267,-0.344,0.435,,,,
#006a32,0.218,-0.354,0.416,,,,
#004c19,0.193,-0.227,0.298,,,,
#008837,0.311,-0.433,0.533,,,,
#ed7062,0.057,0.542,0.929,,,,
#ac2106,0.11,0.642,0.675,,,,
#008934,0.325,-0.428,0.537,,,,
#013f92,-0.321,-0.469,0.573,,,,
#006f3c,0.201,-0.386,0.435,,,,
#006735,0.197,-0.353,0.404,,,,
#003fa6,-0.394,-0.518,0.651,,,,
#a9210a,0.094,0.616,0.663,,,,
#dda605,0.596,0.602,0.867,,,,
#003ea1,-0.379,-0.505,0.631,,,,
#013ea1,-0.379,-0.5,0.631,,,,
#006e37,0.216,-0.374,0.431,,,,
#d2a605,0.589,0.547,0.824,,,,
#043e19,0.141,-0.179,0.243,,,,
#b57006,0.407,0.553,0.71,,,,
#b27008,0.398,0.534,0.698,,,,
#d7a601,0.606,0.58,0.843,,,,
#002668,-0.252,-0.321,0.408,,,,
#002d79,-0.29,-0.376,0.475,,,,
#004d14,0.211,-0.216,0.302,,,,
#004517,0.174,-0.207,0.271,,,,
#bc840c,0.452,0.522,0.737,,,,
#001449,-0.197,-0.207,0.286,,,,
#00662f,0.214,-0.338,0.4,,,,
#a21e09,0.086,0.594,0.635,,,,
#001b4c,-0.186,-0.233,0.298,,,,
#006b20,0.281,-0.312,0.42,,,,
#00632d,0.21,-0.327,0.388,,,,
#aa1501,0.082,0.658,0.667,,,,
#00449c,-0.341,-0.508,0.612,,,,
#006627,0.241,-0.319,0.4,,,,
#006a21,0.274,-0.312,0.416,,,,
#e1ae0d,0.594,0.582,0.882,,,,
#e2ae09,0.608,0.595,0.886,,,,
#008f40,0.307,-0.47,0.561,,,,
#1870c6,-0.338,-0.593,0.776,,,,
#1670d1,-0.379,-0.628,0.82,,,,
#057036,0.226,-0.354,0.439,,,,
#0470d7,-0.405,-0.722,0.843,,,,
#03703b,0.208,-0.373,0.439,,,,
#02703d,0.201,-0.382,0.439,,,,
#01702b,0.264,-0.346,0.439,,,,
#0070d4,-0.394,-0.732,0.831,,,,
#00622a,0.216,-0.318,0.384,,,,
#004495,-0.315,-0.492,0.584,,,,
#dbab04,0.613,0.579,0.859,,,,
#00803b,0.269,-0.424,0.502,,,,
#daab04,0.612,0.574,0.855,,,,
#d9ab10,0.57,0.545,0.851,,,,
#d8ab14,0.555,0.532,0.847,,,,
#cc2102,0.127,0.782,0.8,,,,
#ddab04,0.614,0.589,0.867,,,,
#dcab00,0.627,0.592,0.863,,,,
#128045,0.23,-0.365,0.502,,,,
#008138,0.283,-0.42,0.506,,,,
#008037,0.282,-0.415,0.502,,,,
#00713b,0.213,-0.389,0.443,,,,
#006f39,0.212,-0.38,0.435,,,,
#c12106,0.11,0.725,0.757,,,,
#c02102,0.127,0.734,0.753,,,,
#bd820c,0.446,0.532,0.741,,,,
#d7ab08,0.596,0.551,0.843,,,,
#b06f0c,0.38,0.519,0.69,,,,
#af6f0e,0.372,0.51,0.686,,,,
#ae6f0d,0.376,0.507,0.682,,,,
#ac6f07,0.397,0.511,0.675,,,,
#00152c,-0.09,-0.147,0.173,,,,
#946f0c,0.368,0.386,0.58,,,,
#d9a804,0.603,0.578,0.851,,,,
#d8a800,0.616,0.581,0.847,,,,
#dca808,0.591,0.585,0.863,,,,
#00842c,0.333,-0.397,0.518,,,,
#002c82,-0.326,-0.392,0.51,,,,
#0044a3,-0.366,-0.524,0.639,,,,
#d3a804,0.599,0.548,0.827,,,,
#d7a800,0.615,0.576,0.843,,,,
#d69d01,0.58,0.601,0.839,,,,
#f2bb03,0.676,0.649,0.949,,,,
#f0bb03,0.675,0.639,0.941,,,,
#002361,-0.236,-0.298,0.38,,,,
#003d93,-0.331,-0.472,0.576,,,,
#00733e,0.209,-0.399,0.451,,,,
#cb9d01,0.573,0.547,0.796,,,,
#d82202,0.131,0.829,0.847,,,,
#008638,0.301,-0.431,0.525,,,,
#002262,-0.243,-0.298,0.384,,,,
#c38a0c,0.474,0.539,0.765,,,,
#206fc6,-0.34,-0.555,0.776,,,,
#003a93,-0.341,-0.464,0.576,,,,
#1c6fc7,-0.344,-0.576,0.78,,,,
#007126,0.284,-0.34,0.443,,,,
#00318e,-0.353,-0.431,0.557,,,,
#176fc7,-0.345,-0.598,0.78,,,,
#126fd7,-0.406,-0.657,0.843,,,,
#106fc7,-0.346,-0.629,0.78,,,,
#0d6fc9,-0.354,-0.647,0.788,,,,
#0c6fc5,-0.339,-0.641,0.773,,,,
#0a6fb9,-0.294,-0.62,0.725,,,,
#096f30,0.241,-0.319,0.435,,,,
#056f3d,0.197,-0.366,0.435,,,,
#046f2e,0.249,-0.338,0.435,,,,
#036f2f,0.246,-0.345,0.435,,,,
#026f2f,0.247,-0.349,0.435,,,,
#016fd4,-0.398,-0.726,0.831,,,,
#006fd5,-0.402,-0.732,0.835,,,,
#003984,-0.29,-0.429,0.518,,,,
#d09c08,0.549,0.56,0.816,,,,
#c08808,0.48,0.538,0.753,,,,
#007832,0.27,-0.385,0.471,,,,
#00933f,0.325,-0.476,0.576,,,,
#c99c04,0.558,0.534,0.788,,,,
#001749,-0.188,-0.216,0.286,,,,
#cd9c00,0.575,0.562,0.804,,,,
#008a34,0.329,-0.43,0.541,,,,
#018e3a,0.323,-0.449,0.557,,,,
#00276f,-0.273,-0.339,0.435,,,,
#008e42,0.296,-0.472,0.557,,,,
#b46e05,0.403,0.555,0.706,,,,
#b16e06,0.399,0.539,0.694,,,,
#af6e0b,0.38,0.519,0.686,,,,
#ad6e04,0.405,0.525,0.678,,,,
#00360f,0.145,-0.154,0.212,,,,
#004513,0.186,-0.196,0.271,,,,
#916e0a,0.371,0.378,0.569,,,,
#00358a,-0.325,-0.432,0.541,,,,
#008c38,0.323,-0.444,0.549,,,,
#007834,0.263,-0.39,0.471,,,,
#004417,0.17,-0.205,0.267,,,,
#007437,0.238,-0.388,0.455,,,,
#002f7a,-0.287,-0.383,0.478,,,,
#deb20b,0.61,0.559,0.871,,,,
#d6a701,0.609,0.572,0.839,,,,
#d7a701,0.609,0.577,0.843,,,,
#d4a70d,0.565,0.538,0.831,,,,
#d5a715,0.538,0.527,0.835,,,,
#e1b307,0.629,0.579,0.882,,,,
#1a8e50,0.242,-0.385,0.557,,,,
#001a55,-0.222,-0.249,0.333,,,,
#00743a,0.227,-0.394,0.455,,,,
#00763d,0.224,-0.405,0.463,,,,
#cfa701,0.604,0.537,0.812,,,,
#e6b207,0.629,0.607,0.902,,,,
#e3b20f,0.599,0.576,0.89,,,,
#00150d,0.032,-0.076,0.082,,,,
#1e6ec8,-0.351,-0.567,0.784,,,,
#00652e,0.214,-0.333,0.396,,,,
#196ec7,-0.348,-0.587,0.78,,,,
#008134,0.296,-0.41,0.506,,,,
#176ec5,-0.341,-0.591,0.773,,,,
#136ec9,-0.357,-0.618,0.788,,,,
#0b6ed4,-0.399,-0.68,0.831,,,,
#096ec6,-0.347,-0.655,0.776,,,,
#056e3b,0.201,-0.36,0.431,,,,
#046e2d,0.249,-0.333,0.431,,,,
#036e31,0.236,-0.347,0.431,,,,
#026e37,0.215,-0.365,0.431,,,,
#016e2b,0.257,-0.342,0.431,,,,
#003089,-0.338,-0.418,0.537,,,,
#013085,-0.323,-0.404,0.522,,,,
#b1220e,0.082,0.634,0.694,,,,
#bd220a,0.098,0.695,0.741,,,,
#b02206,0.114,0.657,0.69,,,,
#c01a01,0.102,0.742,0.753,,,,
#c11a01,0.102,0.746,0.757,,,,
#00702a,0.267,-0.348,0.439,,,,
#c51a01,0.102,0.762,0.773,,,,
#c61a01,0.102,0.766,0.776,,,,
#c19001,0.529,0.535,0.757,,,,
#a1210c,0.086,0.578,0.631,,,,
#001f54,-0.202,-0.26,0.329,,,,
#a2210c,0.086,0.582,0.635,,,,
#ad2206,0.114,0.645,0.678,,,,
#af220a,0.098,0.64,0.686,,,,
#001e5d,-0.238,-0.277,0.365,,,,
#00723a,0.22,-0.389,0.447,,,,
#ae6d07,0.391,0.525,0.682,,,,
#008530,0.324,-0.409,0.522,,,,
#00612f,0.196,-0.326,0.38,,,,
#00652f,0.21,-0.336,0.396,,,,
#006d33,0.226,-0.363,0.427,,,,
#b87f0c,0.435,0.516,0.722,,,,
#003da3,-0.39,-0.507,0.639,,,,
#d39c01,0.575,0.59,0.827,,,,
#006d37,0.212,-0.371,0.427,,,,
#006c2b,0.25,-0.342,0.424,,,,
#007028,0.274,-0.343,0.439,,,,
#006c33,0.222,-0.36,0.424,,,,
#006c37,0.208,-0.369,0.424,,,,
#b06f0b,0.384,0.521,0.69,,,,
#af6f0b,0.383,0.516,0.686,,,,
#001b46,-0.165,-0.22,0.275,,,,
#003a99,-0.363,-0.478,0.6,,,,
#006c30,0.233,-0.354,0.424,,,,
#dbab00,0.627,0.587,0.859,,,,
#deab00,0.629,0.602,0.871,,,,
#ddab00,0.628,0.597,0.867,,,,
#d8ab00,0.625,0.572,0.847,,,,
#e4ba27,0.539,0.509,0.894,,,,
#d7ab10,0.568,0.535,0.843,,,,
#d5ab04,0.609,0.549,0.835,,,,
#003d99,-0.353,-0.485,0.6,,,,
#013d9d,-0.368,-0.489,0.616,,,,
#006d32,0.23,-0.361,0.427,,,,
#00612b,0.209,-0.318,0.38,,,,
#b6982d,0.392,0.367,0.714,,,,
#156dc3,-0.338,-0.593,0.765,,,,
#0e6dc5,-0.346,-0.629,0.773,,,,
#0d6dc5,-0.346,-0.633,0.773,,,,
#086d38,0.207,-0.338,0.427,,,,
#e0a900,0.624,0.618,0.878,,,,
#026d2d,0.246,-0.34,0.427,,,,
#016d2e,0.243,-0.347,0.427,,,,
#006dd5,-0.409,-0.728,0.835,,,,
#002874,-0.288,-0.352,0.455,,,,
#006c21,0.282,-0.316,0.424,,,,
#dfa900,0.623,0.613,0.875,,,,
#007838,0.249,-0.399,0.471,,,,
#daa900,0.62,0.588,0.855,,,,
#006827,0.248,-0.324,0.408,,,,
#dda900,0.622,0.603,0.867,,,,
#dca900,0.622,0.598,0.863,,,,
#006823,0.261,-0.313,0.408,,,,
#d6a900,0.618,0.568,0.839,,,,
#d4a904,0.602,0.55,0.831,,,,
#00276d,-0.266,-0.334,0.427,,,,
#00682b,0.235,-0.333,0.408,,,,
#00236e,-0.282,-0.326,0.431,,,,
#007738,0.246,-0.397,0.467,,,,
#caa90c,0.567,0.483,0.792,,,,
#045f33,0.173,-0.312,0.373,,,,
#00377e,-0.275,-0.411,0.494,,,,
#00682d,0.228,-0.338,0.408,,,,
#004a18,0.189,-0.221,0.29,,,,
#af230d,0.09,0.629,0.686,,,,
#0056c5,-0.43,-0.642,0.773,,,,
#ae230d,0.09,0.625,0.682,,,,
#af6c06,0.392,0.535,0.686,,,,
#ad6c0e,0.362,0.508,0.678,,,,
#ac6c0a,0.376,0.512,0.675,,,,
#00ab58,0.326,-0.586,0.671,,,,
#014db8,-0.412,-0.587,0.722,,,,
#006932,0.215,-0.351,0.412,,,,
#00753c,0.224,-0.4,0.459,,,,
#004dac,-0.369,-0.565,0.675,,,,
#00255a,-0.204,-0.288,0.353,,,,
#0044a2,-0.363,-0.522,0.635,,,,
#006833,0.207,-0.351,0.408,,,,
#0144ae,-0.406,-0.544,0.682,,,,
#004413,0.183,-0.194,0.267,,,,
#b72306,0.119,0.684,0.718,,,,
#b5230a,0.102,0.663,0.71,,,,
#be2306,0.119,0.712,0.745,,,,
#1da162,0.248,-0.454,0.631,,,,
#006d27,0.266,-0.334,0.427,,,,
#00641b,0.271,-0.283,0.392,,,,
#b1230a,0.102,0.647,0.694,,,,
#dbaa04,0.61,0.582,0.859,,,,
#daa200,0.6,0.609,0.855,,,,
#d8a200,0.599,0.599,0.847,,,,
#ba2306,0.119,0.696,0.729,,,,
#d9aa10,0.567,0.548,0.851,,,,
#deaa08,0.598,0.589,0.871,,,,
#b82306,0.119,0.688,0.722,,,,
#d6a200,0.598,0.589,0.839,,,,
#d1a200,0.595,0.564,0.82,,,,
#2c7ecf,-0.318,-0.555,0.812,,,,
#007e33,0.288,-0.401,0.494,,,,
#017235,0.237,-0.374,0.447,,,,
#006433,0.193,-0.342,0.392,,,,
#dfa300,0.606,0.631,0.875,,,,
#007231,0.251,-0.37,0.447,,,,
#dba50b,0.571,0.583,0.859,,,,
#d6aa10,0.565,0.533,0.839,,,,
#d7aa0c,0.579,0.546,0.843,,,,
#006230,0.196,-0.331,0.384,,,,
#d2a314,0.528,0.525,0.824,,,,
#d5aa04,0.606,0.552,0.835,,,,
#d5a300,0.6,0.581,0.835,,,,
#006f2f,0.247,-0.358,0.435,,,,
#af230a,0.102,0.639,0.686,,,,
#00692a,0.242,-0.333,0.412,,,,
#00691f,0.277,-0.305,0.412,,,,
#1a6cc0,-0.329,-0.562,0.753,,,,
#007128,0.277,-0.346,0.443,,,,
#d9a000,0.594,0.61,0.851,,,,
#d8a000,0.593,0.605,0.847,,,,
#146cc2,-0.338,-0.593,0.761,,,,
#136cc7,-0.356,-0.609,0.78,,,,
#126cc6,-0.353,-0.611,0.776,,,,
#026932,0.214,-0.342,0.412,,,,
#0e6cc5,-0.35,-0.627,0.773,,,,
#0c6cc1,-0.335,-0.626,0.757,,,,
#0a6cd2,-0.399,-0.675,0.824,,,,
#d5a000,0.591,0.59,0.835,,,,
#046c3b,0.193,-0.359,0.424,,,,
#036c26,0.265,-0.315,0.424,,,,
#026c28,0.259,-0.325,0.424,,,,
#016c30,0.232,-0.349,0.424,,,,
#006cd1,-0.397,-0.717,0.82,,,,
#007131,0.248,-0.367,0.443,,,,
#006023,0.232,-0.296,0.376,,,,
#00642f,0.207,-0.333,0.392,,,,
#007024,0.286,-0.333,0.439,,,,
#cda004,0.572,0.542,0.804,,,,
#00601f,0.245,-0.286,0.376,,,,
#cea000,0.587,0.555,0.808,,,,
#006021,0.239,-0.291,0.376,,,,
#ec6b5a,0.07,0.568,0.925,,,,
#d3a100,0.593,0.577,0.827,,,,
#d4a100,0.594,0.582,0.831,,,,
#00a150,0.317,-0.546,0.631,,,,
#00602b,0.206,-0.315,0.376,,,,
#d6a507,0.582,0.566,0.839,,,,
#00276a,-0.255,-0.328,0.416,,,,
#002f72,-0.258,-0.365,0.447,,,,
#e3b513,0.594,0.559,0.89,,,,
#00a258,0.292,-0.564,0.635,,,,
#007635,0.252,-0.388,0.463,,,,
#b06b08,0.381,0.537,0.69,,,,
#ae6b0a,0.373,0.524,0.682,,,,
#ba7d0b,0.433,0.533,0.729,,,,
#ac6b0e,0.358,0.506,0.675,,,,
#aa6b09,0.376,0.507,0.667,,,,
#003181,-0.306,-0.403,0.506,,,,
#001e51,-0.195,-0.251,0.318,,,,
#003587,-0.314,-0.426,0.529,,,,
#002d6b,-0.239,-0.345,0.42,,,,
#001d54,-0.209,-0.255,0.329,,,,
#00641f,0.259,-0.294,0.392,,,,
#001c55,-0.215,-0.254,0.333,,,,
#dfaa00,0.626,0.61,0.875,,,,
#daaa08,0.595,0.569,0.855,,,,
#ddaa00,0.625,0.6,0.867,,,,
#dcaa0c,0.583,0.571,0.863,,,,
#003b84,-0.283,-0.433,0.518,,,,
#d6aa00,0.62,0.565,0.839,,,,
#d5aa00,0.62,0.56,0.835,,,,
#004219,0.157,-0.206,0.259,,,,
#c81f01,0.123,0.771,0.784,,,,
#cc1f01,0.123,0.787,0.8,,,,
#ce1f01,0.123,0.794,0.808,,,,
#006d2b,0.253,-0.344,0.427,,,,
#001a4b,-0.186,-0.228,0.294,,,,
#026d2b,0.253,-0.335,0.427,,,,
#c01f09,0.09,0.712,0.753,,,,
#d9a800,0.617,0.586,0.851,,,,
#dca804,0.605,0.593,0.863,,,,
#c21f01,0.123,0.747,0.761,,,,
#c31f01,0.123,0.751,0.765,,,,
#0f6bc3,-0.346,-0.615,0.765,,,,
#e4b917,0.592,0.544,0.894,,,,
#0a6bd3,-0.406,-0.675,0.827,,,,
#056bc6,-0.359,-0.666,0.776,,,,
#036bc3,-0.348,-0.668,0.765,,,,
#026b30,0.229,-0.343,0.42,,,,
