c,x,y,z,c2,x2,y2,z2
#1c7bce,-0.327,-0.616,0.808,,,,
#1b7bd1,-0.339,-0.628,0.82,,,,
#1a7bcc,-0.32,-0.62,0.8,,,,
#197bcb,-0.317,-0.622,0.796,,,,
#0e7b40,0.23,-0.361,0.482,,,,
#0c7bd0,-0.337,-0.691,0.816,,,,
#b8280c,0.114,0.665,0.722,,,,
#057b3d,0.242,-0.394,0.482,,,,
#037b3e,0.239,-0.405,0.482,,,,
#017b2d,0.297,-0.375,0.482,,,,
#002878,-0.302,-0.36,0.471,,,,
#001845,-0.171,-0.21,0.271,,,,
#02389c,-0.38,-0.47,0.612,,,,
#e6b109,0.619,0.606,0.902,,,,
#005824,0.2,-0.281,0.345,,,,
#00399c,-0.377,-0.482,0.612,,,,
#017330,0.258,-0.365,0.451,,,,
#006f2e,0.251,-0.356,0.435,,,,
#005b28,0.198,-0.297,0.357,,,,
#037330,0.257,-0.356,0.451,,,,
#027330,0.258,-0.36,0.451,,,,
#00672f,0.218,-0.34,0.404,,,,
#00479f,-0.341,-0.522,0.624,,,,
#002a7c,-0.31,-0.374,0.486,,,,
#016630,0.21,-0.336,0.4,,,,
#ba7a03,0.452,0.558,0.729,,,,
#b97a0e,0.412,0.529,0.725,,,,
#006628,0.238,-0.322,0.4,,,,
#b77a0d,0.415,0.522,0.718,,,,
#b67a0d,0.414,0.517,0.714,,,,
#003613,0.133,-0.165,0.212,,,,
#046634,0.196,-0.331,0.4,,,,
#005526,0.182,-0.279,0.333,,,,
#016531,0.203,-0.335,0.396,,,,
#017d33,0.284,-0.394,0.49,,,,
#017429,0.285,-0.35,0.455,,,,
#009444,0.311,-0.49,0.58,,,,
#e0ac0d,0.587,0.583,0.878,,,,
#00742d,0.272,-0.365,0.455,,,,
#3c3509,0.157,0.124,0.235,,,,
#014fac,-0.362,-0.565,0.675,,,,
#014ba8,-0.361,-0.547,0.659,,,,
#004fb4,-0.391,-0.587,0.706,,,,
#e5b102,0.643,0.616,0.898,,,,
#e4b10a,0.615,0.594,0.894,,,,
#004bac,-0.376,-0.56,0.675,,,,
#e6b106,0.63,0.612,0.902,,,,
#007335,0.241,-0.381,0.451,,,,
#e3b106,0.628,0.597,0.89,,,,
#e2b116,0.571,0.56,0.886,,,,
#00429a,-0.34,-0.499,0.604,,,,
#007a35,0.267,-0.397,0.478,,,,
#047a39,0.252,-0.388,0.478,,,,
#deb10e,0.597,0.556,0.871,,,,
#003589,-0.322,-0.43,0.537,,,,
#1e7ace,-0.331,-0.606,0.808,,,,
#0059c7,-0.427,-0.653,0.78,,,,
#033519,0.109,-0.163,0.208,,,,
#187ad1,-0.343,-0.639,0.82,,,,
#167ace,-0.332,-0.641,0.808,,,,
#157ad1,-0.343,-0.652,0.82,,,,
#0051ac,-0.355,-0.574,0.675,,,,
#097a3b,0.244,-0.37,0.478,,,,
#077a3f,0.231,-0.387,0.478,,,,
#e3310c,0.151,0.829,0.89,,,,
#037ad8,-0.372,-0.748,0.847,,,,
#027a34,0.27,-0.385,0.478,,,,
#017a37,0.26,-0.397,0.478,,,,
#003088,-0.334,-0.416,0.533,,,,
#015019,0.206,-0.231,0.314,,,,
#0050ad,-0.362,-0.574,0.678,,,,
#a3200c,0.082,0.586,0.639,,,,
#003184,-0.317,-0.409,0.518,,,,
#016f2d,0.254,-0.349,0.435,,,,
#003793,-0.351,-0.457,0.576,,,,
#0052b0,-0.366,-0.585,0.69,,,,
#0046a1,-0.352,-0.524,0.631,,,,
#bb7901,0.456,0.569,0.733,,,,
#001e12,0.048,-0.107,0.118,,,,
#b97907,0.434,0.547,0.725,,,,
#004eb3,-0.391,-0.583,0.702,,,,
#0446a1,-0.351,-0.506,0.631,,,,
#b47901,0.453,0.536,0.706,,,,
#0053b8,-0.392,-0.606,0.722,,,,
#016131,0.188,-0.326,0.38,,,,
#deae0e,0.588,0.565,0.871,,,,
#006121,0.242,-0.293,0.38,,,,
#9c7916,0.367,0.376,0.612,,,,
#026125,0.229,-0.294,0.38,,,,
#00255e,-0.219,-0.297,0.369,,,,
#96791f,0.332,0.328,0.588,,,,
#b91f01,0.123,0.711,0.725,,,,
#dfae0a,0.603,0.578,0.875,,,,
#006d2e,0.243,-0.352,0.427,,,,
#004ca2,-0.335,-0.54,0.635,,,,
#b01601,0.086,0.681,0.69,,,,
#002e70,-0.254,-0.358,0.439,,,,
#014cae,-0.379,-0.563,0.682,,,,
#f7cb14,0.665,0.591,0.969,,,,
#ddad13,0.567,0.553,0.867,,,,
#0075d8,-0.391,-0.751,0.847,,,,
#1575cc,-0.343,-0.631,0.8,,,,
#09562c,0.163,-0.254,0.337,,,,
#0056b4,-0.367,-0.603,0.706,,,,
#006b36,0.208,-0.364,0.42,,,,
#ae1601,0.086,0.673,0.682,,,,
#004a19,0.185,-0.223,0.29,,,,
#aa1601,0.086,0.657,0.667,,,,
#0057c0,-0.408,-0.633,0.753,,,,
#015d29,0.201,-0.299,0.365,,,,
#005d1d,0.241,-0.274,0.365,,,,
#e0af01,0.638,0.598,0.878,,,,
#025d29,0.201,-0.295,0.365,,,,
#055d31,0.173,-0.299,0.365,,,,
#e1af0d,0.597,0.579,0.882,,,,
#1579cc,-0.328,-0.638,0.8,,,,
#1179d0,-0.344,-0.665,0.816,,,,
#e2af05,0.625,0.6,0.886,,,,
#0a793d,0.233,-0.367,0.475,,,,
#0879d9,-0.379,-0.727,0.851,,,,
#06793b,0.241,-0.381,0.475,,,,
#027930,0.28,-0.374,0.475,,,,
